data|link|titulo
31/05/19 - Sexta-feira|https://www.jcnet.com.br/Politica/2019/05/definidas-as-novas-datas-para-pagamento-das-taxas-de-fiscalizacao.html|Definidas as novas datas para pagamento das taxas de fiscalização
|https://www.jcnet.com.br/Politica/2019/05/meis-tem-ate-hoje-para-fazer-declaracao-anual-do-simples-nacional.html|MEIs têm até hoje para fazer Declaração Anual do Simples Nacional
|https://www.jcnet.com.br/Politica/2019/05/governo-aumenta-despesa-com-saude-e-vai-ter-de-cortar-em-outras-areas.html|Governo aumenta despesa com saúde e vai ter de cortar em outras áreas
30/05/19 - Quinta-feira|https://www.jcnet.com.br/Politica/2019/05/anexo-para-mulheres-vitimas-de-violencia-e-sugerido-em-audiencia.html|Anexo para mulheres vítimas de violência é sugerido em audiência
|https://www.jcnet.com.br/Politica/2019/05/filas-nas-unidades-de-saude-ficarao-online.html|Filas nas unidades de saúde ficarão online
|https://www.jcnet.com.br/Politica/2019/05/ato-pela-educacao-acontece-nesta-quintafeira.html|Ato pela educação acontece nesta quinta-feira
|https://www.jcnet.com.br/Politica/2019/05/pagamento-de-taxas-de-fiscalizacao-e-prorrogado-em-1-mes.html|Pagamento de taxas de fiscalização é prorrogado em 1 mês
29/05/19 - Quarta-feira|https://www.jcnet.com.br/Politica/2019/05/violencia-em-escolas-sera-tema-de-audiencia-publica-em-bauru.html|Violência em escolas será discutida nesta quinta-feira
|https://www.jcnet.com.br/Politica/2019/05/na-comissao-de-transportes-taxistas-pedem-bandeirada-e-bandeira-2-facultativas.html|Na Comissão de Transportes, taxistas pedem bandeirada e Bandeira 2 facultativas
|https://www.jcnet.com.br/Politica/2019/05/stj-nega-liminar-para-o-municipio-em-precatorio-da-floresta-urbana.html|STJ nega liminar para o município em precatório da floresta urbana
28/05/19 - Terça-feira|https://www.jcnet.com.br/Politica/2019/05/advogados-afirmam-que-prefeitura-fez-doacao-de-area-que-nao-era-mais-dela.html|Advogados afirmam que prefeitura fez doação de área que não era mais dela
|https://www.jcnet.com.br/Politica/2019/05/vereadores-temem-novas-indenizacoes-e-defendem-revogar-apas-para-evitar-acoes.html|Vereadores temem novas indenizações e defendem revogar APAs para evitar ações
27/05/19 - Segunda-feira|https://www.jcnet.com.br/Politica/2019/05/audiencia-publica-discute-combate-a-violencia-contra-a-mulher.html|Audiência Pública discute combate à violência contra a mulher
|https://www.jcnet.com.br/Politica/2019/05/sessao-da-camara-de-bauru-vai-discutir-parcelamento-de-divida-do-municipio.html|Sessão da Câmara de Bauru vai discutir parcelamento de dívida do município
26/05/19 - Domingo|https://www.jcnet.com.br/Politica/2019/05/atos-em-apoio-ao-governo-ocorrem-em-diversas-cidades.html|Atos em apoio ao governo ocorrem em diversas cidades
30/05/19 - Quinta-feira|https://www.jcnet.com.br/Economia/2019/05/de-julho-em-diante-brasil-comeca-a-decolar-diz-guedes.html|De julho em diante, Brasil começa a decolar, diz Guedes
|https://www.jcnet.com.br/Economia/2019/05/pib-do-brasil-cai-02-no-1o-trimestre-e-tem-primeira-retracao-desde-2016.html|PIB do Brasil cai 0,2% no 1º trimestre e tem primeira retração desde 2016
|https://www.jcnet.com.br/Economia/2019/05/procon-procura-parceiros-para-tratar-compradores-compulsivos.html|Procon procura parceiros para tratar compradores compulsivos
29/05/19 - Quarta-feira|https://www.jcnet.com.br/Economia/2019/05/justica-rejeita-proposta-da-azul-pela-avianca.html|Justiça rejeita proposta da Azul pela Avianca
|https://www.jcnet.com.br/Economia/2019/05/classe-c-ja-lidera-potencial-de-consumo.html|Classe C já lidera potencial de consumo
28/05/19 - Terça-feira|https://www.jcnet.com.br/Economia/2019/05/magazine-luiza-tera-lojas-dentro-de-hipermercados-do-carrefour.html|Magazine Luiza terá lojas dentro de hipermercados do Carrefour
|https://www.jcnet.com.br/Economia/2019/05/evento-hoje-na-ite-aborda-criptomoedas.html|Evento hoje na ITE aborda criptomoedas
27/05/19 - Segunda-feira|https://www.jcnet.com.br/Economia/2019/05/fiat-chrysler-propoe-fusao-de-iguais-com-a-renault.html|Fiat Chrysler propõe fusão de iguais com a Renault
25/05/19 - Sábado|https://www.jcnet.com.br/Economia/2019/05/fitch-reafirma-rating-da-turquia-em-bb-com-perspectiva-negativa.html|Fitch reafirma rating da Turquia em BB, com perspectiva negativa
|https://www.jcnet.com.br/Economia/2019/05/fitch-reafirma-rating-de-portugal-em-bbb-e-altera-perspectiva-para-positiva.html|Fitch reafirma rating de Portugal em BBB e altera perspectiva para positiva
|https://www.jcnet.com.br/Economia/2019/05/petrobras-gasolina-vai-ficar-em-media-00907litro-mais-barata.html|Petrobras: gasolina vai ficar, em média, R$ 0,0907/litro mais barata
|https://www.jcnet.com.br/Economia/2019/05/governo-abre-consulta-publica-sobre-nova-legislacao-para-startups.html|Governo abre consulta pública sobre nova legislação para startups
23/05/19 - Quinta-feira|https://www.jcnet.com.br/Economia/2019/05/ipea-eleva-previsao-de-ipca-em-2019-de-385-para-408.html|Ipea eleva previsão de IPCA em 2019 de 3,85% para 4,08%
|https://www.jcnet.com.br/Economia/2019/05/regiao-tera-polos-em-prol-da-industria.html|Região terá polos em prol da indústria
|https://www.jcnet.com.br/Economia/2019/05/de-olho-em-rotina-corrida-confianca-abre-loja-no-centro-com-20-mil-itens.html|De olho em rotina corrida, Confiança abre loja no Centro com 20 mil itens
31/05/19 - Sexta-feira|https://www.jcnet.com.br/Geral/2019/05/seminario-discutira-politica-nacional-de-residuos-solidos.html|Seminário discutirá Política Nacional de Resíduos Sólidos
|https://www.jcnet.com.br/Geral/2019/05/5a-cidade-no-estado-com-mais-violencia-escolar-bauru-se-articula-para-reagir.html|5.ª cidade no Estado com mais violência escolar, Bauru se articula para reagir
|https://www.jcnet.com.br/Geral/2019/05/bauru-tem-segundo-ato-em-prol-da-educacao.html|Bauru tem segundo ato em prol da Educação
|https://www.jcnet.com.br/Geral/2019/05/rea-anexa-ao-horto-abrigara-centro-para-tratar-caes-e-gatos.html|Área anexa ao Horto abrigará centro para tratar cães e gatos
|https://www.jcnet.com.br/Geral/2019/05/cobertura-vacinal-da-gripe-atinge-785-e-acao-sera-neste-sabado.html|Cobertura vacinal da gripe atinge 78,5% e ação será neste sábado
